"level_0","index","date","state","fips","cases","deaths"
"0","0","2020-01-21T00:00:00.000","Washington","53","1","0"
"1","1","2020-01-22T00:00:00.000","Washington","53","1","0"
"2","2","2020-01-23T00:00:00.000","Washington","53","1","0"
"3","3","2020-01-24T00:00:00.000","Illinois","17","1","0"
"4","4","2020-01-24T00:00:00.000","Washington","53","1","0"
